回答ID, 企画ID, 団体名, 主体としているキャンパス, 団体の区分, 活動内容, 活動日, 活動場所, 部員数, 部費, ひとこと, キャッチコピー, 年間日程
1135, 2135, 心理学勉強会「Mind Explorers」, 野田, 文化系, 臨床心理、社会心理、認知心理など、心理学の様々な分野の基礎知識学習、文献輪読、心理実験体験(簡易なもの)。, 月2回 勉強会/輪読会(木曜夜), 講義棟、オンライン, 22名（男子8名、女子14名）, 500円/年, 人の心に興味がある人！心理学を学びたい人！(心理学科でなくてもOK)。専門書を読むのは難しくても、皆で読めば理解が深まるかも。日常に活かせるヒントも。, 心の世界を探求する、知的な冒険。, 4月:新歓・心理学入門＆興味分野トーク 5月:心理学研究法基礎 6月:社会心理学テーマ輪読① 7月:認知心理学実験体験 8月:夏休み課題図書読書会 10月:臨床心理学テーマ輪読② 11月:理大祭(心理テストコーナー？) 12月:発達心理学勉強会 2月:パーソナリティ心理学 3月:年間学習テーマ発表会
1136, 2136, ビーガン・ベジタリアン料理研究会, 野田, 文化系, 植物性の食材のみを使った料理(ビーガン)や、乳製品・卵は使う料理(ベジタリアン)のレシピ研究・調理実習。, 月1回 調理実習(週末), 野田市内調理室のある公民館, 12名（男子4名、女子8名）, 毎回1500円程度の材料費実費, 健康志向、環境意識、アニマルウェルフェアに関心がある人。ビーガン・ベジタリアン料理に興味がある、レパートリーを増やしたい人。美味しくてヘルシーな食を探求！, 美味しく、優しく、健やかに。, 4月:新歓・簡単ビーガンおやつ作り 5月:大豆ミート活用レシピ 6月:野菜たっぷり主食メニュー 7月:夏のひんやりビーガンスイーツ 8月:世界のベジタリアン料理① 10月:秋野菜のビーガン料理 11月:理大祭(紹介・レシピ配布？) 12月:ビーガンクリスマスディナー 2月:世界のベジタリアン料理② 3月:手作りプラントベースミルク
1137, 2137, 古文書・くずし字読解サークル, 野田, 文化系, 江戸時代の古文書や和本に使われている「くずし字」の読み方を学ぶ。変体仮名、草書体の基礎練習、資料読解。, 週1回 勉強会(水曜放課後), 講義棟和室、図書館資料室, 10名（男子7名、女子3名）, 1000円/年 (資料コピー代など), 歴史が好きで、昔の人が書いた文字を読んでみたい人！くずし字はパズルのようで面白い！初心者歓迎。変体仮名辞典などを使いながら、少しずつ解読。, 時を超えた文字を、読み解く喜び。, 4月:新歓・くずし字紹介＆体験 5月:変体仮名 基礎練習① 6月:草書体 基礎練習① 7月:簡単な古文書読解チャレンジ 8月:夏休み集中読解練習 10月:変体仮名 基礎練習② 11月:理大祭(くずし字クイズ、資料展示) 12月:草書体 基礎練習② 2月:江戸時代の版本を読む 3月:読解成果発表会
1138, 2138, ヨーヨーサークル「Spin Gear」, 野田, 運動系, ヨーヨーの基本技(スリーパー、ウォークザドッグ等)から、ストリングトリック、ルーピングトリックの練習。, 週1回 練習会(木曜昼休み or 放課後), コミュニケーション棟前広場、講義棟, 13名（男子11名、女子2名）, 0円 (ヨーヨーは各自用意), ヨーヨーかっこいい！やってみたい！昔ハイパーヨーヨーやってた人！初心者歓迎。技が決まると爽快！色々な技をマスターしよう！, 糸と重力で、無限の技を繰り出す。, 4月:新歓・ヨーヨー体験会＆デモ 5月:基本技マスター講座 6月:ストリングトリック入門(1A) 7月:前期ミニ発表会 8月:夏休み集中練習期間 10月:ルーピングトリック入門(2A) 11月:理大祭(パフォーマンス、体験) 12月:フリースタイル練習会 2月:オフストリング(4A)/カウンターウェイト(5A)紹介 3月:技の教え合い・記録会
1139, 2139, Minecraftサークル「TUS Crafters」, 野田, 文化系, Minecraft(Java/統合版問わず)での建築、サバイバル、ミニゲーム、MOD導入・開発(有志)。サークルサーバー運営。, 週1回 オンライン集会 + サーバー常時開放, オンライン(Discord、サークルサーバー), 45名（男子40名、女子5名）, サーバー維持費カンパ(任意), マイクラ好きなら誰でも歓迎！建築勢、サバイバル勢、赤石先生、コマンド使い…一緒にマイクラの世界を創造し、冒険しよう！マルチプレイが楽しい！, ブロック一つから、無限の世界へ！, 4月:新歓・サーバー紹介＆体験プレイ 5月:共同建築プロジェクト開始① 6月:サバイバルワールド開拓 7月:ミニゲーム大会(アスレチック、PVP等) 8月:夏休み大型建築企画 10月:レッドストーン回路勉強会 11月:理大祭(サーバー紹介、建築展示) 12月:共同建築プロジェクト② 2月:MOD導入講習会(有志) 3月:ワールドデータ棚卸し＆記念撮影
1140, 2140, 投資・資産形成勉強会「マネーラボ」, 野田, 文化系, 株式投資、投資信託、NISA、iDeCoなど、資産形成に関する基礎知識の勉強会。経済ニュースの読み解き、情報交換。, 月2回 勉強会(水曜夜), 講義棟、オンライン, 25名（男子20名、女子5名）, 0円 (書籍代などは各自), お金の知識を身につけたい人、将来のために資産形成を考えたい人。ギャンブル的な投機ではなく、長期的な視点での勉強会です。初心者歓迎。まずは情報収集から。, 未来のための、賢いお金の知識。, 4月:新歓・お金の基本＆資産形成入門 5月:NISA・iDeCo制度解説 6月:株式投資の基礎(企業分析入門) 7月:投資信託の選び方 8月:経済ニュース・指標の読み方講座 10月:ポートフォリオ理論入門 11月:理大祭(活動紹介、マネー知識クイズ) 12月:年末相場振り返り＆来年予測(？) 2月:不動産投資(REIT)入門 3月:ライフプランとお金の計画
1141, 2141, シミュレーションゲーム研究会「Hex Grid」, 野田, 文化系, 歴史系・ファンタジー系の戦略シミュレーションゲーム(PC/ボード)のプレイ、研究。信長の野望、Civ、Europa Universalisなど。, 月1-2回 プレイ会(週末長時間), 講義棟、オンライン, 12名（男子全員）, ゲーム購入費は各自, 歴史や戦略が好きで、じっくり時間をかけてプレイするのが好きな人向け。複雑なシステムを理解し、最適戦略を考えるのが楽しい！マルチプレイも。, 仮想世界で、歴史を動かせ！, 4月:新歓・おすすめシミュレーションゲーム紹介 5月:『Civilization』シリーズ マルチプレイ会 6月:『信長の野望』シリーズ 研究会 7月:パラドゲー(EU4/CKなど)入門 8月:夏休み徹夜プレイ合宿(オンライン) 10月:ファンタジー系シミュレーション特集 11月:理大祭(ゲーム紹介展示) 12月:年末マルチプレイ大会 2月:ボードウォーゲーム体験会 3月:MOD導入・研究会
1142, 2142, 野田キャンパス周辺 美化・花植え活動, 野田, 文化系, 大学周辺の道路や公園の清掃、花壇への花植え・水やり活動。地域住民との交流。, 月1回 活動日(土曜午前), 大学周辺地域、地域の花壇, 18名（男子8名、女子10名）, 0円 (花苗代などは助成金・寄付), 自分たちの手で、キャンパス周辺をきれいで華やかにしたい人。地域貢献に関心がある人。体を動かすのが好きな人。お花好きも歓迎！, 街に彩りと、笑顔を咲かせよう。, 毎月1回 清掃・花植え活動 / 4月:新歓活動＆春の花植え 5月:除草・水やり活動 6月:地域清掃イベント協力 7月:夏の暑さ対策勉強会 8月:早朝清掃活動 10月:秋の花植え 11月:理大祭(活動紹介、地域連携PR) 12月:落ち葉清掃 2月:冬の花壇手入れ 3月:春に向けた土づくり
1143, 2143, ディジタルフォトフレーム・電子工作キット製作, 野田, 文化系, Raspberry PiやArduinoを使った電子工作キットの企画・製作。プログラミング(Python/C++)、回路設計。, 週1回 作業会(金曜放課後), 部室棟 W111 (電子工作スペース), 14名（男子12名、女子2名）, 4000円/年 (部品代、基板代), 電子工作とプログラミングで、何か面白いものを作りたい人！初心者歓迎。はんだ付けから丁寧に教えます。アイデアを形にする達成感を！, コードとハンダで、アイデアを動かす。, 4月:新歓・作品デモ＆はんだ付け体験 5月:Arduino/Raspberry Pi入門講座 6月:センサー・LED制御プログラミング 7月:前期試作品発表会 8月:夏休み集中開発期間 10月:ディジタルフォトフレーム製作開始 11月:理大祭(作品展示、製作実演) 12月:オリジナル電子工作キット企画 2月:Python/C++プログラミング応用 3月:完成作品発表会
1144, 2144, 日本酒・焼酎を楽しむ会 (※未成年飲酒厳禁), 野田, 文化系, 日本各地の日本酒や焼酎の銘柄研究、飲み比べ(成人者のみ)、酒蔵見学(企画)、お酒に合う肴の研究。, 月1回 定例会(成人者のみ試飲あり)(金曜夜), 講義棟(勉強会)、居酒屋(懇親会), 16名（男子13名、女子3名）, 試飲会・懇親会実費 + 見学交通費実費, 日本のお酒文化に興味がある人(※活動は20歳以上になってから)。様々な銘柄の味や香り、歴史を学びます。美味しい肴とのペアリングも探求。, 一献に込める、米と水の物語。 (※飲酒は20歳になってから！), 毎月 銘柄研究会・試飲会(成人者) / 4月:新歓・日本酒/焼酎の基礎知識講座 5月:地域別銘酒研究(東北) 6月:酒蔵見学ツアー①(近郊) 7月:夏酒特集 8月:焼酎(芋・麦・米)飲み比べ研究 10月:ひやおろし特集 11月:理大祭(お酒に関する知識展示 ※試飲なし) 12月:熱燗・お湯割りの美味しい作り方 2月:酒蔵見学ツアー② 3月:お花見と楽しむお酒研究
1145, 2145, 競技タイピングサークル「Type Masters」, 野田, 文化系, タイピング速度・正確性の向上練習。寿司打、e-typing、TypingTube等。タイピング大会参加(オンライン)。, 週1回 オンライン練習会 + 各自練習, オンライン(Discord、各種タイピングサイト), 18名（男子15名、女子3名）, 0円, タイピング速くなりたい人！正確に打てるようになりたい人！ゲーム感覚で楽しくスキルアップ。ショートカットキー活用術なども共有。, 指先で奏でる、高速の世界。, 4月:新歓・タイピング力測定＆練習法紹介 5月:ホームポジション徹底練習 6月:寿司打ハイスコアチャレンジ 7月:e-typing腕試し大会(部内) 8月:夏休み毎日タイピング強化月間 10月:TypingTube練習会(歌詞打ち) 11月:理大祭(タイピング体験コーナー) 12月:英語タイピング練習会 2月:オンラインタイピング大会参加(有志) 3月:年間成長率コンテスト
1146, 2146, 留学生サポート・バディプログラム, 野田, 文化系, 来日した留学生の生活サポート(役所手続き補助、買い物同行など)、日本語学習支援、日本文化紹介、交流イベント企画。, 随時サポート活動 + 月1交流会/ミーティング, キャンパス内、野田市内、オンライン, 30名（日本人学生20名、留学生10名）, 0円, 留学生と友達になりたい！日本の生活をサポートしたい！異文化交流に積極的に関わりたい人。語学力は問いません、大切なのはコミュニケーション！, 言葉と文化の壁を越えて、繋がる心。, 年間通して留学生の受入時期に合わせて活動 / 4月:新入留学生ウェルカム会＆生活オリエンテーション 5月:日本語会話パートナー開始 6月:日本文化体験企画①(例:茶道) 7月:七夕交流会 8月:夏休み小旅行企画 10月:ハロウィンパーティー 11月:理大祭(国際交流ブース協力) 12月:年末交流会・餅つき体験 2月:日本語学習発表会サポート 3月:フェアウェルパーティー
1147, 2147, 競技ドッジボールクラブ「Dodge Arrows」, 野田, 運動系, 競技ドッジボール(JDBAルール等)の練習。パス、キャッチ、アタック、フォーメーション練習。大会参加目標。, 週1回 練習日(日曜午前), 野田市内体育館 or グラウンド, 20名（男子15名、女子5名）, 4000円/年 (体育館代、ボール代), 本気のドッジボールやりたい人！小学生の頃とは違う、戦略的な面白さがあります。投げる、捕る、避ける！熱い攻防を繰り広げよう！経験不問！, 一球入魂！コートを駆け抜けろ！, 4月:新歓・体験ドッジボール 5月:基本技術(投げ方、捕り方)練習 6月:フォーメーション・戦術研究 7月:前期練習試合(紅白戦) 8月:夏合宿(集中練習) 10月:アタック強化練習 11月:理大祭(デモンストレーション？) 12月:地域大会参加(目標) 2月:ディフェンス強化練習 3月:年度末総当たり戦
1148, 2148, プラモデル(スケールモデル)専門クラブ, 野田, 文化系, 飛行機、艦船、戦車、自動車などのスケールモデル製作。考証に基づいた塗装、ディテールアップ、ジオラマ製作。, 週1回 作業会/情報交換会(金曜夜), 部室棟 W112 (作業スペース), 11名（男子全員）, 3500円/年 (共有工具・塗料代), リアルな模型を作りたい！歴史やメカが好き！そんなあなたに。細かい作業が好き、塗装にこだわりたい人向け。じっくり時間をかけて完成を目指そう。, 精密なディテールに、魂を宿す。, 4月:新歓・作品展示＆製作相談会 5月:飛行機モデル製作入門 6月:艦船モデル製作(ウォーターライン) 7月:前期作品発表会 8月:夏休み大作チャレンジ(ジオラマ等) 10月:AFV(戦車)モデル製作・ウェザリング講座 11月:理大祭(スケールモデル展示会) 12月:カーモデル製作(研ぎ出し塗装) 2月:資料収集・考証勉強会 3月:年間合同展示会
1149, 2149, アクアリウム(熱帯魚・水草)サークル, 野田, 文化系, 熱帯魚・淡水魚の飼育、水草レイアウト水槽の製作・管理。水質管理、繁殖、病気対策などの情報交換。, 月1回 定例会(情報交換) + 各自自宅で飼育/レイアウト, 講義棟(定例会)、オンライン, 12名（男子9名、女子3名）, 0円 (設備・生体は各自負担), 水槽で美しい水中世界を創りたい人！熱帯魚や水草が好き、癒やされたい人。飼育の悩み相談やレイアウトのコツなど、情報交換しませんか？, 水槽の中に、小さな自然を再現する。, 4月:新歓・アクアリウム紹介＆飼育相談会 5月:初心者向け水槽立ち上げ講座 6月:水草レイアウト勉強会 7月:夏場の水温対策・水質管理 8月:自慢のタンク紹介(写真・動画) 10月:熱帯魚の種類・飼育法研究 11月:理大祭(レイアウト水槽展示？) 12月:流木・石組レイアウト実践 2月:魚の繁殖・病気対策勉強会 3月:水草トリミング・株分け講習
1150, 2150, よさこいサークル「舞響」(別系統), 野田, 運動系, よさこい鳴子踊りの練習。鳴子の使い方、基本ステップ、振り付け練習。地域の祭りへの参加を目指す。, 週2回 (火曜・土曜), トレーニング棟、屋外広場, 35名（男子15名、女子20名）, 6000円/年 + 衣装・鳴子代別途, よさこい踊ってみたい！お祭り大好き！活気あふれる演舞で、見ている人も元気に！初心者歓迎。鳴子の音と威勢の良い掛け声で盛り上がろう！, 鳴子を鳴らして、心を一つに！, 4月:新歓演舞披露＆鳴子体験会 5月:基本ステップ・鳴子練習 6月:新曲振り入れ開始 7月:前期練習成果発表(学内) 8月:夏合宿(集中練習＆衣装合わせ) 10月:地域のお祭り参加(目標) 11月:理大祭ステージ演舞 12月:年末演舞納め＆交流会 2月:来年度演舞構想会議 3月:基礎体力・柔軟性向上トレーニング
